unique_id,ds,y
Dengue,2013-10-27,183.0
Dengue,2013-11-03,161.0
Dengue,2013-11-10,137.0
Dengue,2013-11-17,137.0
Dengue,2013-11-24,156.0
Dengue,2013-12-01,142.0
Dengue,2013-12-08,152.0
Dengue,2013-12-15,167.0
Dengue,2013-12-22,137.0
Dengue,2013-12-29,105.0
Dengue,2014-01-05,100.0
Dengue,2014-01-12,89.0
Dengue,2014-01-19,98.0
Dengue,2014-01-26,79.0
Dengue,2014-02-02,81.0
Dengue,2014-02-09,64.0
Dengue,2014-02-16,66.0
Dengue,2014-02-23,59.0
Dengue,2014-03-02,66.0
Dengue,2014-03-09,47.0
Dengue,2014-03-16,60.0
Dengue,2014-03-23,55.0
Dengue,2014-03-30,44.0
Dengue,2014-04-06,51.0
Dengue,2014-04-13,70.0
Dengue,2014-04-20,52.0
Dengue,2014-04-27,51.0
Dengue,2014-05-04,49.0
Dengue,2014-05-11,54.0
Dengue,2014-05-18,45.0
Dengue,2014-05-25,50.0
Dengue,2014-06-01,42.0
Dengue,2014-06-08,48.0
Dengue,2014-06-15,61.0
Dengue,2014-06-22,77.0
Dengue,2014-06-29,67.0
Dengue,2014-07-06,66.0
Dengue,2014-07-13,62.0
Dengue,2014-07-20,68.0
Dengue,2014-07-27,68.0
Dengue,2014-08-03,74.0
Dengue,2014-08-10,75.0
Dengue,2014-08-17,66.0
Dengue,2014-08-24,50.0
Dengue,2014-08-31,53.0
Dengue,2014-09-07,51.0
Dengue,2014-09-14,64.0
Dengue,2014-09-21,60.0
Dengue,2014-09-28,37.0
Dengue,2014-10-05,59.0
Dengue,2014-10-12,49.0
Dengue,2014-10-19,57.0
Dengue,2014-10-26,68.0
Dengue,2014-11-02,50.0
Dengue,2014-11-09,48.0
Dengue,2014-11-16,56.0
Dengue,2014-11-23,53.0
Dengue,2014-11-30,40.0
Dengue,2014-12-07,58.0
Dengue,2014-12-14,60.0
Dengue,2014-12-21,68.0
Dengue,2014-12-28,63.0
Dengue,2015-01-04,79.0
Dengue,2015-01-11,68.0
Dengue,2015-01-18,79.0
Dengue,2015-01-25,113.0
Dengue,2015-02-01,112.0
Dengue,2015-02-08,104.0
Dengue,2015-02-15,117.0
Dengue,2015-02-22,89.0
Dengue,2015-03-01,115.0
Dengue,2015-03-08,75.0
Dengue,2015-03-15,82.0
Dengue,2015-03-22,82.0
Dengue,2015-03-29,91.0
Dengue,2015-04-05,71.0
Dengue,2015-04-12,72.0
Dengue,2015-04-19,68.0
Dengue,2015-04-26,87.0
Dengue,2015-05-03,101.0
Dengue,2015-05-10,84.0
Dengue,2015-05-17,109.0
Dengue,2015-05-24,83.0
Dengue,2015-05-31,84.0
Dengue,2015-06-07,107.0
Dengue,2015-06-14,89.0
