anio,semana_epi,casos,temp_media_c_lag1,temp_media_c_lag2,temp_media_c_lag3,temp_media_c_lag4,precipitacion_mm_lag1,precipitacion_mm_lag2,precipitacion_mm_lag3,precipitacion_mm_lag4,humedad_media_pct_lag1,humedad_media_pct_lag2,humedad_media_pct_lag3,humedad_media_pct_lag4,casos_lag1,casos_lag2,casos_lag4
2010,38,103,20.91428571,21.07142857,20.21428571,20.72857143,41.9,14.3,76.3,67.4,83.42857143,82.57142857,86.14285714,85.42857143,95,125,131
2010,39,113,20.37142857,20.91428571,21.07142857,20.21428571,58.7,41.9,14.3,76.3,85.42857143,83.42857143,82.57142857,86.14285714,103,95,119
2010,40,110,20.12857143,20.37142857,20.91428571,21.07142857,104.9,58.7,41.9,14.3,87.57142857,85.42857143,83.42857143,82.57142857,113,103,125
2010,41,77,21.05714286,20.12857143,20.37142857,20.91428571,87,104.9,58.7,41.9,83.28571429,87.57142857,85.42857143,83.42857143,110,113,95
2010,42,70,20.84285714,21.05714286,20.12857143,20.37142857,74,87,104.9,58.7,85.57142857,83.28571429,87.57142857,85.42857143,77,110,103
2010,43,74,20.15714286,20.84285714,21.05714286,20.12857143,63.1,74,87,104.9,85.85714286,85.57142857,83.28571429,87.57142857,70,77,113
2010,44,101,20.08571429,20.15714286,20.84285714,21.05714286,246.7,63.1,74,87,87.57142857,85.85714286,85.57142857,83.28571429,74,70,110
2010,45,64,20.28571429,20.08571429,20.15714286,20.84285714,228.8,246.7,63.1,74,87.85714286,87.57142857,85.85714286,85.57142857,101,74,77
2010,46,69,19.77142857,20.28571429,20.08571429,20.15714286,186.4,228.8,246.7,63.1,88.57142857,87.85714286,87.57142857,85.85714286,64,101,70
2010,47,67,19.62857143,19.77142857,20.28571429,20.08571429,85.2,186.4,228.8,246.7,86.28571429,88.57142857,87.85714286,87.57142857,69,64,74
2010,48,68,19.92857143,19.62857143,19.77142857,20.28571429,98.7,85.2,186.4,228.8,88.14285714,86.28571429,88.57142857,87.85714286,67,69,101
2010,49,49,20.04285714,19.92857143,19.62857143,19.77142857,135.1,98.7,85.2,186.4,86.57142857,88.14285714,86.28571429,88.57142857,68,67,64
2010,50,33,20.41428571,20.04285714,19.92857143,19.62857143,46.9,135.1,98.7,85.2,85.85714286,86.57142857,88.14285714,86.28571429,49,68,69
2010,51,41,19.77142857,20.41428571,20.04285714,19.92857143,94,46.9,135.1,98.7,87.28571429,85.85714286,86.57142857,88.14285714,33,49,67
2010,52,39,20.07142857,19.77142857,20.41428571,20.04285714,29.1,94,46.9,135.1,83.71428571,87.28571429,85.85714286,86.57142857,41,33,68
2011,1,24,20.34285714,20.07142857,19.77142857,20.41428571,43.5,29.1,94,46.9,84.71428571,83.71428571,87.28571429,85.85714286,39,41,49
2011,2,25,19.97142857,20.34285714,20.07142857,19.77142857,65.9,43.5,29.1,94,85.42857143,84.71428571,83.71428571,87.28571429,24,39,33
2011,3,23,20.81428571,19.97142857,20.34285714,20.07142857,46.4,65.9,43.5,29.1,85.57142857,85.42857143,84.71428571,83.71428571,25,24,41
2011,4,18,20.45714286,20.81428571,19.97142857,20.34285714,13.2,46.4,65.9,43.5,84.42857143,85.57142857,85.42857143,84.71428571,23,25,39
2011,5,13,20.24285714,20.45714286,20.81428571,19.97142857,42.9,13.2,46.4,65.9,85.85714286,84.42857143,85.57142857,85.42857143,18,23,24
2011,6,13,20.87142857,20.24285714,20.45714286,20.81428571,61.4,42.9,13.2,46.4,85,85.85714286,84.42857143,85.57142857,13,18,25
2011,7,14,20.18571429,20.87142857,20.24285714,20.45714286,48.7,61.4,42.9,13.2,86.42857143,85,85.85714286,84.42857143,13,13,23
2011,8,21,19.95714286,20.18571429,20.87142857,20.24285714,88.4,48.7,61.4,42.9,87.85714286,86.42857143,85,85.85714286,14,13,18
2011,9,17,20.52857143,19.95714286,20.18571429,20.87142857,61.8,88.4,48.7,61.4,83.28571429,87.85714286,86.42857143,85,21,14,13
2011,10,15,19.48571429,20.52857143,19.95714286,20.18571429,122.7,61.8,88.4,48.7,87,83.28571429,87.85714286,86.42857143,17,21,13
2011,11,8,19.47142857,19.48571429,20.52857143,19.95714286,87.2,122.7,61.8,88.4,82.14285714,87,83.28571429,87.85714286,15,17,14
